"Order","Family","Species.name.","Brain.mass","Body.mass","Body.mass","Residual.brain.size","Residual.brain.size","Maximum.lifespan","Age.at.first.reprodction","Residual.lifespan","Residual.reproductive.lifespan","Incubation.length","Clutch.size","Mode.of.development","Mean.latitude","Sampling.effort","Dats.source","logBodyMass","logBrainMass"
"Charadriiformes","Scolopacidae","Tringa glareola ",1.2,67.5,62.5,-0.06607,0.0336094444947024,11.6,1,-0.07557,-0.06744,22,4,1,60.39,1,0,4.21212759787848,0.182321556793955
"Charadriiformes","Scolopacidae","Tringa nebularia ",1.81,173.5,187,-0.11844,-0.0362006974284421,24.4,1,0.15709,0.18586,24,4,1,60.16,1,0,5.15617759938691,0.593326845277734
"Charadriiformes","Scolopacidae","Tringa ochropus ",1.3,80,90,-0.07286,0.0237022481475983,11.5,1,-0.09557,-0.08787,21,4,1,54.42,1,0,4.38202663467388,0.262364264467491
"Charadriiformes","Scolopacidae","Tringa stagnatilis ",1.02,72.5,77.5,-0.15413,-0.0552030296507063,7.1,1,-0.2956,-0.31428,23,4,1,52.65,1,0,4.28358656186063,0.0198026272961797
"Charadriiformes","Scolopacidae","Tringa totanus ",1.352,129,149,-0.17267,-0.0855233848280459,26.9,1,0.22779,0.25838,24,4,1,50.28,1,0,4.85981240436167,0.301584977620772
"Charadriiformes","Scolopacidae","Xenus cinereus ",1.07,72,78.8,-0.13165,-0.0333824676366345,16,1,0.05792,0.07715,23,4,1,60.87,1,0,4.27666611901606,0.0676586484738149
"Charadriiformes","Stercorariidae","Catharacta maccormicki",7.034,1156,1349,0.00732,0.0527516027065065,23.5,6,-0.0406,-0.12235,29,2,2,71.39,1,0,7.05272104923232,1.95075553405179
"Charadriiformes","Stercorariidae","Catharacta skua ",7.5,1410,1340,-0.01342,0.0285621583031153,34.5,6,0.08197,0.0451,29,2,2,61.88,1,0,7.25134498337221,2.01490302054226
"Charadriiformes","Stercorariidae","Stercorarius parasiticus ",4.03,470.3,445.5,-0.01467,0.0480315185405296,31.1,3,0.1671,0.16963,26,2,2,66.43,1,0,6.153370788951,1.39376637595859
"Charadriiformes","Sternidae","Sterna albifrons ",0.9,56,31,-0.14533,-0.0422353811253595,23.9,2,0.25371,0.26308,21,2,2,12.02,1,0,4.02535169073515,-0.105360515657826
"Charadriiformes","Sternidae","Sterna hirundo ",1.778,125,120,-0.04601,0.0419725712376224,33,3,0.31956,0.32523,24,2.5,2,42.85,1,0,4.8283137373023,0.575489137091713
"Charadriiformes","Sternidae","Sterna paradisaea ",1.5,114.5,100,-0.09839,-0.00896697658413487,34,3,0.34092,0.34789,21,2,2,66.17,1,0,4.74057482299429,0.405465108108164
"Ciconiiformes","Ciconiidae","Ciconia ciconia ",14.915,3245.5,3350,0.08127,0.107881008605119,39,4,0.08068,0.0796,33,4,3,44.87,1,0,8.08502470047352,2.70236741796671
"Ciconiiformes","Ciconiidae","Ciconia nigra ",11.8,3000,2926,-0.00124,0.0265140447646,31.3,4,-0.00732,-0.02076,33,4,3,14.74,1,1,8.00636756765025,2.46809953147162
"Columbiformes","Columbidae","Columba livia ",2.23,280.5,358.7,-0.14529,-0.0730331844087767,35,1,0.26783,0.30201,18,2,4,37.86,2,1,5.63657372496275,0.802001585472027
"Columbiformes","Columbidae","Columba oenas ",2.266,291,291,-0.14732,-0.0757428484838263,12.6,1,-0.17939,-0.16854,17,2,4,47.95,1,0,5.67332326717149,0.818016162605815
"Columbiformes","Columbidae","Columba palumbus ",2.186,501,490,-0.29579,-0.233960393590807,17.7,1,-0.08374,-0.06242,17,1.5,4,44.78,1,0,6.21660610108486,0.782073389754347
"Columbiformes","Columbidae","Columbina inca",0.756,48,50,-0.1832,-0.0765761628110895,13.3,1,0.01643,0.02988,14,2,4,22.86,0,1,3.87120101090789,-0.279713902802604
"Columbiformes","Columbidae","Streptopelia decaocto ",1.346,193,157.4,-0.27312,-0.1937228356489,17.9,1,0.01236,0.0343,15,2,4,39.12,1,1,5.26269018890489,0.297137231222536
"Columbiformes","Columbidae","Streptopelia turtur ",1.265,136.5,154,-0.21537,-0.12908788094062,13.2,1,-0.08679,-0.07398,14,1.5,4,41.4,1,0,4.91632461462501,0.235072122179483
"Columbiformes","Columbidae","Zenaida macroura",1.233,126.5,119,-0.20795,-0.12006169878583,31.3,1,0.29545,0.32841,14,2,4,36.4,2,0,4.84024230816757,0.209450224182207
"Coraciiformes","Alcedinidae","Alcedo atthis ",0.8,42.4,31.4,-0.12816,-0.0198060465577973,21,1,0.22677,0.25302,20,6.5,4,24.64,1,0,3.74714836223791,-0.22314355131421
"Coraciiformes","Coraciidae","Coracias garrulus ",2.2,147,146,0.00684,0.0914927909092808,9.2,1,-0.25067,-0.25364,18,4,4,44.04,1,0,4.99043258677874,0.78845736036427
"Coraciiformes","Meropidae","Merops apiaster ",0.798,55.1,56.6,-0.19361,-0.0899874030925253,5.9,1,-0.34976,-0.38307,20,6.5,4,11.38,1,0,4.00914971615887,-0.225646681532328
